iter	Passed	Remaining
0	135	134926
1	136	67867
2	137	45568
3	138	34370
4	138	27628
5	139	23156
6	140	19962
7	141	17558
8	142	15666
9	142	14149
10	143	12909
11	144	11877
12	146	11090
13	146	10343
14	147	9692
15	148	9125
16	149	8618
17	149	8163
18	150	7755
19	150	7387
20	151	7055
21	151	6753
22	152	6478
23	153	6230
24	153	6001
25	154	5792
26	155	5595
27	155	5411
28	156	5239
29	157	5082
30	157	4936
31	158	4799
32	159	4671
33	160	4550
34	160	4434
35	161	4325
36	162	4223
37	163	4128
38	163	4035
39	164	3944
40	164	3857
41	165	3775
42	166	3701
43	166	3625
44	167	3552
45	167	3483
46	168	3416
47	169	3352
48	169	3292
49	170	3234
50	170	3178
51	171	3123
52	171	3071
53	172	3021
54	173	2973
55	173	2928
56	174	2884
57	174	2841
58	175	2799
59	176	2759
60	176	2721
61	177	2683
62	178	2648
63	178	2612
64	179	2578
65	179	2544
66	180	2512
67	180	2480
68	181	2449
69	182	2418
70	182	2389
71	183	2361
72	183	2333
73	184	2306
74	184	2280
75	185	2255
76	186	2230
77	186	2208
78	187	2186
79	188	2164
80	188	2143
81	189	2122
82	189	2098
83	190	2076
84	190	2055
85	191	2036
86	192	2018
87	192	1999
88	193	1981
89	194	1963
90	194	1945
91	195	1927
92	195	1910
93	196	1893
94	197	1876
95	197	1860
96	198	1844
97	198	1829
98	199	1813
99	199	1798
100	200	1784
101	201	1770
102	201	1756
103	202	1743
104	202	1729
105	203	1717
106	204	1704
107	204	1692
108	205	1680
109	206	1669
110	207	1657
111	207	1648
112	208	1637
113	209	1627
114	210	1616
115	210	1605
116	211	1594
117	212	1584
118	212	1575
119	213	1565
120	214	1556
121	215	1547
122	215	1538
123	216	1529
124	217	1520
125	218	1512
126	218	1503
127	219	1495
128	220	1487
129	221	1479
130	221	1471
131	222	1464
132	223	1455
133	224	1447
134	224	1439
135	225	1432
136	226	1424
137	226	1417
138	227	1409
139	228	1401
140	228	1394
141	229	1386
142	230	1379
143	230	1372
144	231	1365
145	232	1357
146	232	1350
147	233	1344
148	234	1339
149	235	1334
150	236	1328
151	237	1322
152	238	1317
153	238	1312
154	239	1306
155	240	1301
156	241	1296
157	242	1291
158	242	1285
159	243	1279
160	244	1272
161	244	1267
162	245	1261
163	246	1256
164	247	1251
165	247	1245
166	248	1239
167	249	1235
168	250	1230
169	250	1224
170	251	1219
171	252	1215
172	253	1210
173	254	1206
174	254	1201
175	255	1196
